,id,duration_ms,key,liveness,mode,explicit
234,21jGcNKet2qwijlDFuPiPb,215280,0,0.0863,1,False
235,3ktTWpYdXrYApH54cBo4Ap,221538,6,0.256,0,True
236,1oFAF1hdPOickyHgbuRjyX,191014,0,0.0936,1,False
237,4IJsVXbSeGPUrgwpVoHmlg,178156,0,0.2,1,False
238,2LawezPeJhN4AWuSB0GtAU,160133,0,0.133,1,False
239,3B228N0GxfUCwPyfNcJxps,145200,5,0.0895,1,False
240,4SqWKzw0CbA05TGszDgMlc,160240,10,0.115,1,False
241,7gRFDGEzF9UkBV233yv2dc,175889,0,0.186,1,False
242,5mg3VB3Qh7jcR5kAAC4DSV,174253,2,0.4,1,False
243,6X5WZbJzXtk6aO03HlxuZ9,205300,8,0.268,0,False
244,4WiQA1AGWHFvaxBU6bHghs,151325,11,0.0991,0,False
245,3IMuuBcKSeFqQSlF2XluA1,188075,7,0.294,0,True
246,4k7CNPArKLf4QuvGfMeHDk,184267,6,0.472,1,False
247,2f5WkystuejnBzgV18GTGa,156116,10,0.126,0,False
248,46HNZY1i7O6jwTA7Slo2PI,226198,1,0.328,0,False
249,0WoVfPjxsf9MTvPt9ptqeE,123673,6,0.528,0,True
250,0fea68AdmYNygeTGI4RC18,242573,7,0.108,1,False
251,4bjN59DRXFRxBE1g5ne6B1,168927,7,0.471,1,False
252,0QHEIqNKsMoOY5urbzN48u,134256,10,0.0771,1,False
253,5qyjy0xfsHNzWxvXkHVB85,62790,10,0.111,0,False
254,0FA4wrjDJvJTTU8AepZTup,163139,11,0.153,0,True
255,59hBR0BCtJsfIbV9VzCVAp,200930,0,0.124,0,True
256,09mEdoA6zrmBPgTEN5qXmN,228373,1,0.307,1,False
257,3dYD57lRAUcMHufyqn9GcI,241688,4,0.116,0,False
258,0ZxhtATQ0a6EvQNZ0z6NKV,172125,9,0.101,1,True
259,3AOf6YEpxQ894FmrwI9k96,200387,8,0.167,1,False
260,0WFryfbNKPXVtVQlz5dZ8H,60720,9,0.189,0,False
261,6dUregFbvUNqHP5nphqesK,170900,6,0.323,0,False
262,1VsHc0qIeyjYOyvN5HIEQG,242697,1,0.116,0,True
263,3EaJDYHA0KnX88JvDhL9oa,173104,6,0.119,1,False
264,0SCMVUZ21uYYB8cc0ScfbV,154702,1,0.92,1,False
265,4LreWoO3cpgiIfrRwbOUSF,204253,7,0.111,0,True
266,4eI0ncpnZuv4A3ssTJRSDY,225653,2,0.0879,1,False
267,0u8rZGtXJrLtiSe34FPjGG,212254,7,0.387,1,False
268,0pliiCOWPN0IId8sXAqNJr,190554,9,0.0591,1,False
269,5jt25aFjW2kNoBqaEVaz5W,202174,5,0.0717,0,True
270,54ELExv56KCAB4UP9cOCzC,227013,8,0.363,1,True
271,4aJzxp3gimtAdgJn3DL776,220600,7,0.0946,0,False
272,4VMRsbfZzd3SfQtaJ1Wpwi,268235,9,0.495,0,True
273,6ZZf5a8oiInHDkBe9zXfLP,224888,6,0.324,0,False
274,3WMj8moIAXJhHsyLaqIIHI,228013,4,0.0954,0,False
275,0kzN7YAMSbmlHOvxlbQW9y,190554,9,0.0582,1,False
276,5HrIcZOo1DysX53qDRlRnt,205101,11,0.409,0,False
277,1ULdASrNy5rurl1TZfFaMP,197040,11,0.0703,0,False
278,34o6gteNy2T5rieA0xYAgo,214920,11,0.366,0,True
279,4w9soAM7IrmYDhSXLp14p6,95440,10,0.1,0,False
280,4ygQ5wSuzzNRevVjup1qV2,175296,11,0.302,1,False
281,7hU3IHwjX150XLoTVmjD0q,168228,1,0.152,0,True
282,3gfSH9aYZbyGjdmbeoWliw,186828,0,0.126,1,True
283,7dR09k1an5JEq7ch0Y5hvV,113020,7,0.106,0,False
284,3XjvMZqm2AQ8thMCD6w9w2,199149,11,0.0922,1,True
285,6Xom58OOXk2SoU711L2IXO,245940,5,0.115,0,True
286,4sqpSDnTrbS8v7RMNCUyqS,169836,1,0.766,1,False
287,1piak4R3yW4otWWyaSqyCH,194519,8,0.126,0,True
288,5BgnL6gHauuvxe4Ok6W1aC,205368,9,0.212,0,True
289,6jemILri7l5LuPhKs2nuXr,185731,4,0.312,1,False
290,1IzJxbARcQrOWMZgPw1PNj,217610,6,0.092,0,True
291,36gcliMRX1vCpgnrZE3dFZ,172253,8,0.18,1,False
292,41JPN7pZMTp1sumBOHOzHd,213995,7,0.319,0,False
293,7fBv7CLKzipRk6EC6TWHOB,242253,0,0.135,0,True
294,0zY2rypOdM8xmsf4tUyafF,139091,10,0.0934,0,False
295,2gMXnyrvIjhVBUZwvLZDMP,215107,3,0.0885,1,False
296,5g7sDjBhZ4I3gcFIpkrLuI,233653,5,0.282,1,False
297,39sDitIeCMrVX2QyXHY46t,217000,4,0.258,1,False
298,6maTPqynTmrkWIralgGaoP,142759,7,0.0908,1,True
299,0bMoNdAnxNR0OuQbGDovrr,184444,10,0.125,0,False
300,4xqrdfXkTW4T0RauPLv3WA,198040,5,0.322,1,False
301,6odrHMSLjP3aOXC4ipKUC6,223993,7,0.114,0,False
302,2nLtzopw4rPReszdYBJU6h,185587,9,0.639,1,False
303,5zwwW9Oq7ubSxoCGyW1nbY,186964,4,0.217,1,False
304,0JIYoXtJfORxI6gRpHv6ZW,172005,11,0.395,1,False
305,2OZfJcpzSFApBxUA0gXuJz,100424,1,0.283,1,True
306,4rKQ8daoK0aklVptea8A9E,188088,0,0.134,1,False
307,0CrcwVLUe8wzLUIXgjXVZJ,175837,5,0.194,0,True
308,52Rfxu5AUNMV1qhhC2ZCkb,153038,11,0.38,1,False
309,6INztpNwOTlfSKTuPo0HOP,267773,0,0.109,1,False
310,2dSKFFNoNXKo3hPnlwUdPe,113292,1,0.142,1,True
311,7BqBn9nzAq8spo5e7cZ0dJ,220734,5,0.0622,1,False
312,3eqCJfgJJs8iKx49KO12s3,206947,5,0.154,0,True
313,6IAZHEBUIGJ6NJKxxOBIEr,228093,8,0.0473,1,True
314,5TXDeTFVRVY7Cvt0Dw4vWW,120027,11,0.106,0,True
315,7kOletJ0Q5H4MWe7cfeZXP,185113,3,0.125,0,True
316,6XrPzwKeGzEvtan3acn7VH,183290,9,0.229,1,True
317,7JB29gnUowzSGRdIpeVqRQ,275589,7,0.125,1,True
318,5fj32MKLHkut2Vod1UodcU,251533,7,0.105,1,False
319,22W6wI4hDTjMAYKKBQW9dU,211373,4,0.0959,0,True
320,56tf3cHQkwmvoplotk5QXd,105140,5,0.0621,0,False
321,7gv3UYPh05ZDP7Io5BIsn7,197639,4,0.292,1,False
322,3JSodIIStqTwXSH7nXOuhe,165320,6,0.34,0,False
323,2vRoAkwc3UBEPW2udvN0u9,171443,9,0.226,1,False
324,4j3M8NrbGSXdMPwEVsnfHE,264761,5,0.0771,0,True
325,2LlOeW5rVcvl3QcPNPcDus,225313,9,0.105,1,True
326,6OfOzTitafSnsaunQLuNFw,161041,8,0.215,1,True
327,6Xj014IHwbLVjiVT6H89on,139146,8,0.305,0,False
328,2GAhgAjOhEmItWLfgisyOn,181080,0,0.16,0,True
329,1XGmzt0PVuFgQYYnV2It7A,231173,4,0.287,1,True
330,7EAMXbLcL0qXmciM5SwMh2,211140,8,0.109,0,False
331,3vcLw8QA3yCOkrj9oLSZNs,133829,11,0.296,0,True
332,410ZZP746AQeiywhKvXWCo,206050,6,0.368,0,True
333,7cQ0LAxT5HHCLGbxcjaxac,228387,11,0.146,0,False
334,16dUQ4quIHDe4ZZ0wF1EMN,198667,5,0.0961,0,True
335,0Iozrbed8spxoBnmtBMshO,160909,4,0.213,0,False
336,2LTlykcdu0gwb7zcKneo2a,229327,5,0.107,0,False
337,1AOPHC5whvr8K359BZu4kp,212375,1,0.119,1,True
338,3ZEno9fORwMA1HPecdLi0R,242691,7,0.12,1,False
339,4gbVRS8gloEluzf0GzDOFc,189960,1,0.059,0,False
340,7foeH2Emgq8A3LWk3q6dat,195440,11,0.0495,1,False
341,6qyS9qBy0mEk3qYaH8mPss,145000,10,0.128,1,True
342,6wmKvtSmyTqHNo44OBXVN1,247875,9,0.186,1,False
343,1yHVHoz6Ny29gbbWJYVnFt,186043,5,0.331,1,False
344,1aUq8rjW1EwkAkMri4VfJy,197101,11,0.0814,0,True
